epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,288.569,0.69359,0.3967,0.86297,0.95516,1,0.995,0.83528,0.81584,0.4173,0.86317,0.00066425,0.00066425,0.00066425
73,292.576,0.69974,0.41705,0.86232,0.98951,1,0.995,0.83119,0.71018,0.39302,0.83569,0.000656,0.000656,0.000656
74,297.115,0.71836,0.399,0.86708,0.95268,1,0.995,0.74482,0.96463,0.41077,0.86591,0.00064775,0.00064775,0.00064775
75,300.923,0.71665,0.4058,0.86328,0.97108,1,0.995,0.77449,0.80749,0.40365,0.86021,0.0006395,0.0006395,0.0006395
76,304.654,0.6968,0.39444,0.87114,0.97193,1,0.995,0.78849,1.08088,0.44629,0.89974,0.00063125,0.00063125,0.00063125
77,308.194,0.67039,0.38425,0.85747,0.96315,1,0.995,0.78669,0.89155,0.38473,0.88805,0.000623,0.000623,0.000623
78,311.793,0.68424,0.40246,0.86689,0.98445,1,0.995,0.77243,0.9515,0.46223,0.87587,0.00061475,0.00061475,0.00061475
79,315.346,0.66445,0.3891,0.85297,0.98407,1,0.995,0.71551,1.01048,0.46646,0.9007,0.0006065,0.0006065,0.0006065
80,318.979,0.69217,0.39672,0.85685,0.96277,1,0.995,0.76315,0.78504,0.37555,0.85005,0.00059825,0.00059825,0.00059825
81,322.527,0.71651,0.40218,0.86307,0.96379,1,0.995,0.79272,0.86318,0.37662,0.85563,0.00059,0.00059,0.00059
82,326.168,0.71489,0.39204,0.86882,0.97864,1,0.995,0.70633,1.15087,0.41052,0.90359,0.00058175,0.00058175,0.00058175
83,329.753,0.74699,0.40243,0.86508,0.97418,1,0.995,0.76771,0.81135,0.38283,0.86286,0.0005735,0.0005735,0.0005735
84,333.352,0.73442,0.39944,0.86508,0.98769,1,0.995,0.72933,1.09341,0.45725,0.89712,0.00056525,0.00056525,0.00056525
85,336.924,0.70324,0.40326,0.8609,0.97911,1,0.995,0.78618,0.79034,0.37144,0.8524,0.000557,0.000557,0.000557
86,340.527,0.64923,0.38234,0.85273,0.97406,0.98648,0.995,0.80994,0.87073,0.39022,0.86553,0.00054875,0.00054875,0.00054875
87,345.435,0.64884,0.36827,0.85258,0.97239,0.98902,0.995,0.81169,0.80372,0.36491,0.84681,0.0005405,0.0005405,0.0005405
88,349.218,0.67408,0.38392,0.85309,0.97414,1,0.995,0.80264,0.7807,0.36624,0.86446,0.00053225,0.00053225,0.00053225
89,353.164,0.66714,0.37205,0.86628,0.98362,1,0.995,0.79923,0.88778,0.40888,0.86062,0.000524,0.000524,0.000524
90,357.16,0.66245,0.35687,0.84732,0.96691,1,0.995,0.78295,0.98904,0.40383,0.88976,0.00051575,0.00051575,0.00051575
91,361.265,0.66162,0.36427,0.8619,0.97074,1,0.995,0.8074,0.83466,0.34725,0.85004,0.0005075,0.0005075,0.0005075
92,365.385,0.66662,0.36038,0.85778,0.97979,0.97732,0.995,0.78927,0.84257,0.36502,0.8642,0.00049925,0.00049925,0.00049925
93,369.547,0.64719,0.35743,0.84548,0.96593,1,0.995,0.85187,0.72143,0.34846,0.84627,0.000491,0.000491,0.000491
94,373.904,0.67028,0.36361,0.85252,0.9698,1,0.995,0.77713,0.9761,0.37996,0.86835,0.00048275,0.00048275,0.00048275
95,378.121,0.67841,0.3638,0.85502,0.96946,1,0.995,0.83568,0.73892,0.33306,0.84837,0.0004745,0.0004745,0.0004745
96,382.135,0.62683,0.34265,0.84134,0.9883,1,0.995,0.79212,0.9193,0.37555,0.87069,0.00046625,0.00046625,0.00046625
97,386.284,0.6331,0.34401,0.84859,0.96882,1,0.995,0.79194,0.85109,0.34641,0.85321,0.000458,0.000458,0.000458
98,390.281,0.6308,0.33489,0.83768,0.97218,1,0.995,0.7858,0.74887,0.32125,0.84299,0.00044975,0.00044975,0.00044975
99,394.395,0.63291,0.3455,0.8383,0.97951,1,0.995,0.7882,0.78501,0.32913,0.84781,0.0004415,0.0004415,0.0004415
100,398.561,0.67798,0.35088,0.83864,0.97043,1,0.995,0.85211,0.75841,0.33047,0.84266,0.00043325,0.00043325,0.00043325
101,402.806,0.64816,0.35718,0.84583,0.97566,1,0.995,0.81592,0.95492,0.36101,0.86627,0.000425,0.000425,0.000425
102,406.897,0.65608,0.34058,0.85318,0.97394,1,0.995,0.79952,0.81404,0.37146,0.85908,0.00041675,0.00041675,0.00041675
103,411.342,0.63088,0.33792,0.8459,0.96782,1,0.995,0.80742,0.80259,0.356,0.85635,0.0004085,0.0004085,0.0004085
104,415.732,0.62571,0.34323,0.84633,0.96303,1,0.995,0.79474,0.8283,0.37133,0.85041,0.00040025,0.00040025,0.00040025
105,420.061,0.65225,0.35454,0.85178,0.9938,1,0.995,0.78986,0.80587,0.34921,0.86125,0.000392,0.000392,0.000392
106,424.585,0.63177,0.3395,0.84478,0.99866,1,0.995,0.82977,0.71011,0.32889,0.84764,0.00038375,0.00038375,0.00038375
107,429.073,0.64254,0.33919,0.8505,0.99867,1,0.995,0.80089,0.73561,0.34809,0.84425,0.0003755,0.0003755,0.0003755
108,434.101,0.66449,0.36428,0.85027,0.99787,1,0.995,0.83264,0.72099,0.35254,0.83869,0.00036725,0.00036725,0.00036725
109,438.878,0.63537,0.34752,0.84952,0.98367,1,0.995,0.78801,0.77512,0.35139,0.85087,0.000359,0.000359,0.000359
110,443.767,0.61817,0.33273,0.8382,0.9701,1,0.995,0.81073,0.77985,0.34529,0.84793,0.00035075,0.00035075,0.00035075
111,448.554,0.63568,0.34756,0.85218,0.97737,1,0.995,0.81053,0.76114,0.32713,0.84505,0.0003425,0.0003425,0.0003425
112,454.146,0.64129,0.33138,0.84379,0.97082,1,0.995,0.78041,0.84891,0.33559,0.85485,0.00033425,0.00033425,0.00033425
113,458.319,0.61416,0.32152,0.83606,0.98096,1,0.995,0.78422,0.83122,0.31454,0.85187,0.000326,0.000326,0.000326
114,462.43,0.64116,0.3411,0.85023,0.97085,1,0.995,0.81715,0.76349,0.3371,0.84678,0.00031775,0.00031775,0.00031775
115,466.457,0.63423,0.33555,0.85051,0.97015,1,0.995,0.77726,0.9026,0.35339,0.87429,0.0003095,0.0003095,0.0003095
116,470.449,0.63036,0.33812,0.84856,0.99137,1,0.995,0.8119,0.76218,0.3264,0.85029,0.00030125,0.00030125,0.00030125
117,474.539,0.61219,0.33371,0.84037,0.96802,1,0.995,0.81234,0.78587,0.34142,0.86212,0.000293,0.000293,0.000293
118,478.431,0.61673,0.32745,0.85004,0.97198,1,0.995,0.79074,0.81334,0.32569,0.8647,0.00028475,0.00028475,0.00028475
119,482.864,0.6033,0.33015,0.84921,0.96995,1,0.995,0.79898,0.86166,0.31699,0.86833,0.0002765,0.0002765,0.0002765
120,486.831,0.62506,0.33877,0.84111,0.9783,1,0.995,0.77959,0.93311,0.35577,0.86376,0.00026825,0.00026825,0.00026825
121,490.699,0.63348,0.33449,0.84321,0.97887,1,0.995,0.80149,0.88642,0.32526,0.86886,0.00026,0.00026,0.00026
122,494.73,0.63545,0.33912,0.84072,0.97681,1,0.995,0.81954,0.70228,0.29961,0.83646,0.00025175,0.00025175,0.00025175
123,498.624,0.6132,0.3268,0.84419,0.96996,1,0.995,0.78201,0.88942,0.3362,0.86294,0.0002435,0.0002435,0.0002435
124,502.609,0.62608,0.32966,0.84348,0.97262,1,0.995,0.8188,0.84387,0.32177,0.85806,0.00023525,0.00023525,0.00023525
125,506.499,0.61191,0.31957,0.84172,0.97433,1,0.995,0.82559,0.73568,0.31098,0.83997,0.000227,0.000227,0.000227
