epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1095.19,0.38024,0.31926,0.94155,0.87665,0.99144,0.9778,0.96594,0.11475,0.23049,0.41654,0.000420477,0.000420477,0.000420477
58,1114.74,0.38531,0.3211,0.94583,0.90502,0.96452,0.97181,0.94191,0.11712,0.11394,0.41834,0.000416075,0.000416075,0.000416075
59,1134.07,0.37335,0.31684,0.93739,0.90314,0.96276,0.96992,0.94413,0.12094,0.13731,0.41934,0.000411672,0.000411672,0.000411672
60,1153.67,0.37904,0.31637,0.94455,0.92118,0.89487,0.92488,0.90718,0.11325,0.4823,0.41582,0.00040727,0.00040727,0.00040727
61,1172.47,0.3718,0.30216,0.93992,0.93007,0.89654,0.92774,0.91633,0.10938,0.1478,0.41079,0.000402868,0.000402868,0.000402868
62,1192.19,0.38212,0.30446,0.94103,0.92635,0.95707,0.97311,0.95439,0.11585,0.1079,0.41669,0.000398466,0.000398466,0.000398466
63,1211.08,0.37485,0.30834,0.93855,0.90755,0.9624,0.92794,0.90626,0.11636,0.46798,0.41763,0.000394064,0.000394064,0.000394064
64,1229.56,0.37923,0.30671,0.94017,0.90298,0.9613,0.894,0.87695,0.11493,0.17624,0.41597,0.000389661,0.000389661,0.000389661
65,1248.79,0.3782,0.31727,0.94052,0.90682,0.99476,0.92774,0.90802,0.1099,0.16928,0.41475,0.000385259,0.000385259,0.000385259
66,1266.69,0.37095,0.30491,0.94073,0.91054,0.98151,0.944,0.91548,0.11538,0.17928,0.41794,0.000380857,0.000380857,0.000380857
67,1284.93,0.37379,0.30846,0.93576,0.89955,0.99736,0.94441,0.92453,0.11406,0.24408,0.41706,0.000376455,0.000376455,0.000376455
68,1303.18,0.37812,0.30412,0.94289,0.90466,0.99443,0.92687,0.91442,0.10753,0.12908,0.41316,0.000372053,0.000372053,0.000372053
69,1320.85,0.38123,0.30856,0.94248,0.91466,0.95884,0.91412,0.88818,0.11675,0.14713,0.41739,0.00036765,0.00036765,0.00036765
70,1338.4,0.37649,0.29529,0.93936,0.93045,0.97179,0.94417,0.92243,0.10912,0.23444,0.41365,0.000363248,0.000363248,0.000363248
71,1356,0.36549,0.29866,0.9362,0.92896,0.95695,0.99431,0.97279,0.10904,0.1252,0.4143,0.000358846,0.000358846,0.000358846
72,1373.39,0.3706,0.29713,0.94045,0.92763,0.97346,0.94432,0.92377,0.1137,0.22978,0.41528,0.000354444,0.000354444,0.000354444
73,1390.96,0.35376,0.28354,0.92912,0.96084,0.93281,0.98465,0.9591,0.12031,0.17333,0.41684,0.000350042,0.000350042,0.000350042
